"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"22420","NLA12_WI-179-2012-1","NLA12_WI-179",1,0,2012,8,21,21.4,8.7,7.7,46,"E",0
"22421","NLA12_WI-179-2012-1","NLA12_WI-179",1,1,2012,8,21,21.4,8.7,7.7,46,"E",0
"22422","NLA12_WI-179-2012-1","NLA12_WI-179",1,2,2012,8,21,21.3,8.7,7.7,46,"E",0
"22423","NLA12_WI-179-2012-1","NLA12_WI-179",1,3,2012,8,21,21.3,8.7,7.7,46,"E",0
"22424","NLA12_WI-179-2012-1","NLA12_WI-179",1,4,2012,8,21,21.3,8.7,7.7,46,"E",0
"22425","NLA12_WI-179-2012-1","NLA12_WI-179",1,5,2012,8,21,21.3,8.6,7.6,46,"E",0
"22426","NLA12_WI-179-2012-1","NLA12_WI-179",1,6,2012,8,21,21.3,8.6,7.6,46,"E",0
"22427","NLA12_WI-179-2012-1","NLA12_WI-179",1,7,2012,8,21,21.3,8.6,7.6,46,"E",0
"22428","NLA12_WI-179-2012-1","NLA12_WI-179",1,8,2012,8,21,21.2,8.3,7.4,46,"E",0
"22429","NLA12_WI-179-2012-1","NLA12_WI-179",1,8.6,2012,8,21,21.2,7.8,7.3,47,"E",0
